StrikeX,StrikeY,StrikeZ,LycaonX,LycaonY,LycaonZ,ElapsedTime
12.349,0.5861209,-462.9482,-0.3140928,1.214674,-486.3698,1.499663
-1.087605,1.233692,-454.6104,0.6992698,0.5107148,-479.6418,2.711017
-9.659769,0.5618221,-454.8084,2.769504,1.202678,-473.3771,3.869111
0.8665342,0.5023481,-452.2221,5.011333,1.605188,-466.5774,5.158243
4.95623,0.5091691,-454.7106,3.411465,0.2918324,-458.8427,6.5728
4.173288,4.181007,-445.7352,4.096816,2.256956,-448.711,8.490148
5.736998,0.8582627,-427.3638,5.181099,1.163523,-439.8369,10.32432
0.08187294,1.523787,-424.5163,0.7282397,0.6094668,-432.0166,11.87744
-8.314307,0.7647636,-425.6379,-7.215597,0.6637971,-426.6248,13.29272
-11.93953,1.707546,-416.8592,-12.3526,0.6621284,-416.5799,15.26115
