MouseX,MouseY,MouseZ,nectarX,nectarY,nectarZ,TaskTime,width,GameTime
258.0019,346.006,93.4606,376.2861,332.39,67.52495,0.6438233,102.5784,5.584
315.9977,377.0075,98.48219,385.267,487.3794,89.14964,0.9743019,77.7326,10.536
268.0017,395.0065,116.5361,400.7247,244.8081,47.69589,0.7908481,147.1489,15.155
644.3026,486.2114,65.89697,654.7322,886.0271,80.9165,4.771682,151.2241,14.402
561.0865,568.2676,84.43179,876.2598,688.8192,37.92918,0.7015014,323.0065,19.008
511.5153,485.0461,70.10386,454.5033,653.8049,36.51768,1.54264,321.2862,29.918
511.8147,521.463,77.00854,522.6207,690.7494,79.23431,1.942743,109.2388,11.778
459.0019,564.0218,84.29421,670.2491,567.4155,66.43591,0.8939666,130.486,11.262
466.002,677.0151,105.2422,582.4778,789.1736,92.53609,0.6539622,93.38263,19.066
505.9985,706.0101,104.4665,395.5826,732.1351,67.89917,1.001433,127.7213,26.828
560.9935,704.006,118.3756,501.7845,857.56,62.18781,0.7907609,139.6309,34.666
286.0005,357.0135,92.19536,328.7433,452.905,94.8737,0.8606299,51.76202,9.113
327.996,407.0068,102.9335,301.2383,405.4089,68.72519,0.4598195,69.82794,15.623
296.9996,403.0044,111.1859,348.0527,417.4862,80.66537,0.8132402,60.79553,23.9
320.9966,318.0163,83.73556,280.1283,401.805,37.80408,1.992202,129.8004,12.315
301.9986,325.0181,86.15485,226.4623,428.2867,71.06203,1.433341,67.10651,9.976
210.0051,349.0049,93.39974,248.8218,303.5236,42.35602,0.4756709,111.8698,16.595
293.9995,379.0049,108.228,359.5769,452.4103,87.90545,1.346472,54.90762,23.839
281.0009,413.0062,120.6344,222.3213,421.9355,83.89732,0.8804057,58.50302,32.982
506.8311,518.5635,76.79799,453.0158,835.6306,65.89713,2.776809,128.5056,17.646
541.7595,578.1068,84.57912,537.0377,899.7234,87.24965,25.5117,97.94446,49.598
491.1522,543.9598,80.78938,486.4402,516.9001,59.03168,0.8184691,146.508,11.437
507.2304,538.7181,79.49683,385.2839,503.19,50.35848,0.6947711,170.5382,10.638
436.1614,539.867,67.49368,813.2775,403.4148,41.37568,0.7279154,207.5517,17.266
538.7443,584.4501,86.98423,606.2481,713.1673,73.14078,0.7547585,118.3872,23.679
640.5061,549.5248,79.5417,372.9193,838.5311,96.05553,6.452395,89.19159,35.754
421.8073,625.7966,63.80327,772.3157,512.0909,54.8807,0.7863965,157.4214,41.164
582.5196,684.2125,106.7105,691.4096,758.9091,65.51262,0.7801292,132.3439,48.292
540.2887,691.8682,109.8891,904.0084,446.3219,37.38577,0.7922848,230.7618,55.354
559.3472,631.1276,95.98066,568.8316,694.5434,56.3754,0.7425032,153.413,63.144
524.0858,702.0434,117.0194,525.8046,801.0718,51.08459,1.092904,169.4576,73.186
487.2794,581.6621,85.98325,296.8124,515.7479,56.74003,0.7011576,151.5412,83.825
305.0017,505.0078,269.4006,247.4105,505.2596,78.32384,0.8718431,63.29309,23.946
319.0035,376.99,102.3356,211.6613,371.4013,55.66199,0.8695792,88.82813,31.295
