StrikeX,StrikeY,StrikeZ,LycaonX,LycaonY,LycaonZ,ElapsedTime
11.36531,2.268654,-505.3397,11.36481,0.6762226,-504.6074,5.678531
-14.22547,1.646067,-483.2775,-14.39595,0.6722488,-485.1055,9.234841
-12.58282,12.7281,-457.0373,5.126967,-6.292101,-467.2893,22.00539
-3.209368,1.525956,-479.1537,-2.359481,1.017039,-480.5218,25.56134
-15.14834,0.3490982,-476.7467,-14.39721,0.8383987,-482.9098,28.76724
2.955847,6.641453,-489.6693,1.899762,4.216469,-489.8282,34.52679
-1.550236,3.10429,-484.964,-1.601404,0.4300203,-484.6282,38.53343
9.341038,0.6337234,-485.866,9.389564,0.5863116,-488.9162,4.323669
10.04582,0.8753254,-474.0443,9.846071,0.612092,-471.3443,8.21346
23.41412,2.974067,-486.0586,4.584583,4.564258,-482.9068,13.98878
-3.31406,0.7064489,-488.852,-2.232287,1.800938,-491.0091,18.47928
13.62189,2.451,-507.1509,13.78181,0.6338217,-506.5648,24.38892
8.881688,3.140661,-479.4417,6.639872,4.744548,-475.0051,28.92906
-10.40883,3.813835,-471.3396,-10.57396,0.8961241,-471.2446,32.16778
1.344162,0.7866187,-459.9366,1.8188,0.6106074,-462.9789,36.70796
14.82572,0.7253381,-466.9896,4.244694,0.3450041,-467.5551,5.993131
21.56132,3.233618,-458.2208,7.722865,-0.01301646,-454.6284,9.898958
0.9623625,15.29319,-457.9112,1.646132,14.87406,-458.1871,13.47136
20.00836,-9.717707,-456.1141,17.73918,-9.409964,-458.8132,16.512
1.838863,3.290989,-457.3423,0.1013364,2.729582,-459.2275,23.30637
-12.27578,0.8419076,-454.198,-3.793237,0.841995,-453.8192,26.32782
18.7639,0.6659861,-452.8343,16.30082,0.6953566,-459.5312,29.54989
