StrikeX,StrikeY,StrikeZ,LycaonX,LycaonY,LycaonZ,ElapsedTime
-6.79178,2.944092,-493.8328,-6.897258,0.5241582,-493.2916,2.940816
-17.39037,1.801003,-495.1384,-17.16018,1.102185,-494.7074,6.24543
-4.569295,0.53742,-474.3146,-3.382771,0.6403706,-479.956,9.016173
-7.806131,0.6023303,-490.3875,-7.925025,0.5460415,-489.3856,2.187082
9.936199,4.719832,-480.0924,10.27028,4.477479,-479.7754,4.623674
-8.811065,0.8503355,-484.6591,-6.634383,0.7744725,-484.6419,2.587614
8.368731,4.853942,-477.1824,2.982886,0.9178858,-476.6544,4.690684
21.88883,1.71359,-477.8199,-7.268017,0.6566284,-470.6096,7.02758
-2.641533,14.39631,-377.3822,-15.6512,0.6420496,-451.1115,14.55577
4.006389,1.213851,-449.7138,7.349294,1.209619,-449.8604,17.66074
-2.112739,12.71539,-467.4456,-1.143828,0.6632905,-434.2395,20.78239
-16.56723,0.7761923,-431.0635,-4.939322,2.805688,-431.6296,23.51967
10.79236,0.9107168,-423.7621,15.24947,2.624593,-415.8125,25.99024
18.34449,3.032683,-435.3688,-8.897912,0.7878163,-413.5352,28.47711
19.92855,0.2220996,-451.0777,6.800323,1.189041,-417.1109,33.66893
12.00219,0.994365,-492.7289,-3.468393,0.6250329,-414.0699,35.88898
-2.542396,0.9493403,-428.1814,-2.165443,0.3559616,-408.4911,39.47789
-20.23782,3.158254,-314.5044,0.871968,-0.1387424,-402.4971,50.54445
-1.624948,22.23585,-475.943,1.433135,2.548004,-417.3971,53.61599
9.941112,3.330166,-427.9431,10.25169,3.57935,-431.2305,55.71928
-20.71081,2.972722,-428.1403,-16.29691,13.60427,-455.872,58.97457
4.350721,2.902586,-471.3894,3.274563,3.042105,-470.7537,61.51238
-6.388656,1.225566,-458.6094,-4.277616,1.040346,-456.775,64.25007
-16.85371,0.5824658,-472.1539,-15.41772,0.7877605,-471.0828,67.10474
5.307389,0.8993336,-482.4552,6.397507,0.7052853,-480.3811,69.6594
-2.217382,0.5852423,-471.7384,-3.857385,0.5424244,-467.4879,72.7298
-12.72344,2.121643,-475.6432,-13.01921,0.3740592,-475.4232,74.84982
-18.49479,1.096047,-466.4387,-18.04537,1.040322,-466.2569,77.93805
6.138208,6.05471,-505.3895,7.399966,0.5781944,-501.5359,4.305935
9.078313,1.054353,-500.5236,4.823389,3.520502,-492.3554,6.776406
6.725868,0.6063106,-491.8279,-7.35806,0.6735942,-487.0269,8.812612
8.157243,0.7456384,-489.6283,7.587272,0.6189592,-489.2719,10.8325
-5.068771,3.137539,-488.9893,-5.253173,0.6921451,-489.2191,14.32102
0.8707848,0.7111315,-485.5021,1.179204,0.7845581,-483.6842,6.778351
-17.09061,0.8161813,-477.6643,-15.51845,0.7826126,-477.4532,9.799692
3.405611,0.6452553,-473.0028,3.305844,2.685548,-475.1919,12.13688
6.632807,-6.544107,-475.7443,8.693817,-4.780533,-480.01,14.79097
14.76874,-9.236791,-469.2192,10.07077,-9.520967,-458.328,17.42846
11.26,-3.604569,-472.2053,13.68583,-8.092289,-464.9903,21.10091
4.744704,-1.917894,-450.3789,5.744241,-5.073397,-452.9656,24.38949
