MouseX,MouseY,MouseZ,nectarX,nectarY,nectarZ,TaskTime,width,GameTime
468.4334,569.7587,77.96268,638.2786,888.0731,92.99144,5.225178,101.3375,112.357
741.9155,558.8359,74.46198,505.8392,966.63,78.35629,7.328173,118.987,16.41
493.055,710.9641,76.04253,304.609,753.3469,39.71788,2.270126,236.7708,25.107
636.1064,745.3502,107.4225,650.0374,936.5646,81.4449,3.472049,114.7269,34.004
485.8084,749.2604,113.8674,426.1,986.1385,89.67118,10.84952,104.9567,52.382
573.0503,758.8523,110.571,474.4497,781.7432,73.83268,0.98507,127.1574,58.757
453.6464,637.991,87.45888,486.7097,884.011,69.72269,1.068454,134.5652,67.373
491.7825,566.3426,77.40589,436.9342,872.4922,76.98268,1.10155,121.7437,75.885
602.03,448.9607,63.99306,451.0033,645.5543,70.92567,0.834415,132.2139,49.823
339.4672,552.3111,75.12978,342.5047,793.6579,50.04005,0.7179076,186.9475,18.466
639.3318,525.3052,87.94057,508.8455,773.8873,83.12978,2.737823,108.5876,27.93
