StrikeX,StrikeY,StrikeZ,LycaonX,LycaonY,LycaonZ,ElapsedTime
6.014952,1.415074,-475.9092,7.264673,1.263318,-477.0204,3.386706
-6.794002,2.31951,-452.572,-6.956502,1.025152,-456.445,6.620048
4.941881,1.136656,-405.1732,2.979071,0.6654069,-412.3981,17.78657
4.342608,1.768803,-381.3675,5.76494,2.45979,-389.4128,23.25333
3.346191,0.7756335,-361.2907,1.589526,0.3117721,-368.0277,28.48668
12.8834,2.772165,-345.9409,11.86132,1.748908,-353.9674,31.45333
16.8028,1.958644,-333.4732,13.49503,3.825683,-342.6991,33.55319
6.390188,1.231697,-332.6418,4.110013,0.6849411,-336.9669,37.08642
-0.7220245,0.8817421,-309.4843,-3.356696,0.6145844,-320.265,40.45303
17.77121,-9.18456,-272.8154,12.8569,-9.514788,-284.848,47.25278
7.592619,-1.461196,-271.2188,5.831827,-1.569867,-271.5383,49.78608
18.16736,-2.273212,-224.0761,14.87612,0.5541382,-244.2905,54.38597
-8.184854,1.76482,-219.4328,-5.953953,0.224123,-224.1751,58.81914
14.78641,1.56827,-197.701,11.03489,1.690872,-218.6822,61.519
-7.783579,0.7618808,-170.9172,-6.335903,0.4729559,-187.9216,68.95239
6.23568,2.074352,-176.3175,5.80758,0.6722291,-179.5303,71.11912
9.369073,3.44795,-163.8667,9.946185,2.6433,-164.9543,75.186
3.438727,0.7628003,-476.6118,3.89336,0.9018307,-483.3769,2.533358
3.548878,4.90387,-467.4029,3.717681,2.07469,-467.3991,8.699921
5.953545,0.7940069,-445.0796,2.837745,0.2542281,-451.0078,21.89991
4.640574,1.687897,-434.8797,4.973638,0.68575,-434.2347,24.66661
-13.93994,0.8630666,-369.4908,-13.45811,-0.2367961,-383.549,33.46653
-10.77741,0.8629192,-381.2142,-11.44308,5.287642,-387.1045,35.56647
-8.645869,0.818381,-352.7891,-8.589884,3.344612,-366.5789,38.33309
-8.449571,0.1922388,-355.438,-9.449185,0.6039398,-362.3504,41.19967
-2.954641,11.01641,-361.2492,-2.237333,2.176672,-351.0609,43.43293
-4.138455,0.5135443,-345.0449,-4.754131,0.9389932,-353.1288,45.73285
12.72226,3.707819,-349.6827,12.73168,4.174253,-352.5015,47.7661
19.17799,0.8740357,-307.8986,15.06266,0.453634,-316.332,53.79914
