MouseX,MouseY,MouseZ,nectarX,nectarY,nectarZ,TaskTime,width,GameTime
903.3594,1351.568,92.42325,968.2394,1610.279,96.77593,5.766538,186.6735,103.621
1085.504,1366.292,95.15394,1508.266,1072.603,42.55266,1.700014,423.8002,115.317
1279.431,1391.922,97.55085,544.817,1355.055,31.48324,1.400063,575.6709,122.817
1001.761,1382.67,98.90916,1021.737,1567.222,86.37656,1.200014,215.6561,134.017
1268.661,1397.71,107.7736,1214.24,1609.186,100.8581,1.166636,185.1993,143.417
1221.884,1461.96,107.1111,1271.021,1908.985,84.57452,1.333367,220.4231,154.75
1092.628,1283.671,80.81218,1421.334,1834.132,60.99752,10.03327,310.1433,27.52
1098.482,1308.93,89.55515,1116.888,1537.751,54.74558,2.399849,341.7352,39.92
883.5044,1438.173,105.7737,1117.914,1452.551,84.52885,1.366634,216.4094,47.22
947.7743,1321.157,93.1636,1333.318,1373.349,52.33876,1.100021,356.8671,54.353
