StrikeX,StrikeY,StrikeZ,LycaonX,LycaonY,LycaonZ,ElapsedTime
-1.598009,1.754939,-464.8662,-2.803726,0.5680506,-467.9494,5.599903
0.8885179,-9.11682,-420.1901,0.3278511,0.9335432,-454.6563,8.8665
0.4954777,3.05701,-415.7423,-0.3647483,2.170082,-420.0176,17.39993
-13.69178,0.9143319,-409.5851,-13.24522,0.05285263,-418.4888,20.36654
0.7304764,-7.589634,-387.2591,0.5536512,0.6124463,-412.0262,23.39992
0.08949876,3.48841,-388.9257,-0.09082529,1.409694,-391.44,28.79992
-1.40466,1.040061,-369.0297,-5.284662,0.6463227,-367.7298,32.16651
-7.597532,0.6339335,-339.1312,-9.028063,2.79758,-349.4946,36.1998
12.76169,1.734792,-340.8849,11.12184,0.7098911,-346.6779,38.29973
2.477509,0.5496507,-322.1124,-0.5520793,2.183538,-336.98,41.49963
-0.151,1.346159,-333.2058,-2.160726,0.7245629,-336.4799,44.66616
0.6373138,2.113823,-312.3938,-0.3314056,0.7993002,-320.024,47.49933
10.00761,0.7787938,-294.4131,6.976931,0.8397331,-301.531,51.03261
2.701172,0.5179643,-288.5313,1.373206,0.5858374,-297.9333,54.79919
3.907938,3.206919,-291.7551,5.417984,3.282197,-294.5383,57.09906
4.401719,1.479847,-472.0342,2.522705,1.63741,-475.6151,3.466649
0.3563161,2.753853,-450.2915,-0.3791848,1.560237,-451.9887,6.366578
-6.001896,0.7357855,-447.9738,-6.364473,1.437515,-456.0908,9.33326
-0.9656076,0.8822597,-443.783,-3.019785,0.6101646,-447.2336,12.7666
5.294521,1.803033,-429.7814,3.68728,1.194996,-431.6319,15.56652
-11.59993,5.471754,-424.4147,-11.28686,0.6821778,-425.264,18.36646
6.459208,2.293694,-420.2574,5.826842,0.8990293,-423.8001,21.26656
2.61349,-9.250419,-393.8659,0.53254,-0.1112404,-413.9614,24.1332
14.02362,-9.578631,-404.173,12.57148,-9.443129,-413.6104,27.09991
