StrikeX,StrikeY,StrikeZ,LycaonX,LycaonY,LycaonZ,ElapsedTime
-0.965394,1.118462,-477.4639,1.362181,0.7247202,-481.4368,3.086677
2.946994,0.4743335,-454.0215,2.596013,0.2414982,-467.6495,5.986664
9.964405,3.447028,-429.3971,11.83252,0.719322,-450.4091,9.1533
14.24778,6.466482,-429.0378,17.07852,1.866152,-434.6107,12.11998
9.833553,0.7801449,-408.5563,11.18325,2.498978,-422.2937,16.08658
16.47881,1.632628,-398.6628,16.4371,1.183231,-409.1634,19.05325
2.083969,0.2920654,-355.6969,3.309673,0.8011034,-371.7883,26.51997
3.481697,0.668385,-344.7121,6.371253,2.672347,-355.5233,30.51993
-4.931461,0.5524272,-332.2009,-7.656442,0.674741,-342.4427,34.41987
7.566167,3.95621,-361.3331,12.99004,2.348081,-357.1683,41.38628
12.5181,2.05906,-335.2284,15.01421,0.9092131,-338.4655,44.68619
-7.802028,0.8870888,-301.554,-7.81811,0.7076199,-311.6745,48.91949
11.79679,0.7780175,-277.9281,7.336493,0.6093183,-284.3228,53.05272
2.443818,0.5699593,-257.8523,1.951473,1.439928,-270.8585,55.91928
-5.877603,0.5809599,-242.8384,-7.936876,0.6514993,-259.2761,58.25256
11.83235,0.8306137,-230.5276,13.66776,2.434299,-240.9833,62.25243
-4.346517,2.469416,-225.8492,-3.244242,1.095291,-228.3171,65.31901
4.356866,4.83479,-212.2524,-0.4008111,0.8393574,-208.7006,69.85253
1.609533,0.8307338,-183.1696,1.253089,1.488523,-193.5824,72.91918
-10.87836,2.201918,-170.7807,-9.714423,0.5537388,-179.6446,75.85259
-13.9113,0.935635,-162.1009,-16.819,0.4964762,-171.6517,78.71925
3.369859,0.7954534,-128.2965,1.159402,0.8737659,-140.5488,83.88608
8.536619,-9.388266,-92.6028,8.714206,-4.330173,-109.8044,89.35294
8.071629,-9.219333,-84.94434,8.73404,-9.414923,-90.57275,92.65297
7.007677,2.399639,-74.76704,7.477819,2.161875,-75.61273,95.71969
6.447016,-5.049656,-76.22491,6.298405,3.538893,-92.09811,98.65314
10.63268,1.100345,-76.9631,8.271953,0.8447902,-84.73477,102.2532
11.41329,0.7081671,-44.24106,11.28194,7.786185,-62.46143,104.9867
11.516,0.8616276,-45.25931,12.23105,0.5476718,-53.87259,107.8533
12.02681,-7.240141,-32.20588,14.07435,-7.199971,-39.65411,111.4868
12.47838,1.117734,17.48407,10.65628,7.823666,-0.1226807,120.1537
8.713095,0.6999187,4.012443,9.395206,1.007489,-4.078094,123.1871
7.957962,0.6880949,38.5666,11.40195,0.6429622,35.74341,130.5537
15.27113,0.6773533,57.76527,15.00668,0.5873687,51.27051,133.7867
3.272577,1.281983,71.3973,2.512099,0.8473051,64.14337,136.7198
2.540334,-9.188113,105.1718,1.27037,-9.273226,99.61359,142.7527
18.53246,-9.155315,113.9606,18.83567,-9.417154,109.9396,145.6859
11.09014,3.29108,126.072,11.43043,3.205637,123.4946,148.319
5.179291,0.8713659,143.1318,5.794683,1.308874,134.7808,151.0189
15.71553,0.5454817,161.9274,15.32853,8.442773,153.7413,153.852
7.543979,1.007375,161.0939,5.654722,0.8463554,153.7764,156.4183
-0.8515959,-3.863915,163.3244,1.193457,-0.6316633,164.4464,161.418
