MouseX,MouseY,MouseZ,nectarX,nectarY,nectarZ,TaskTime,width,GameTime
1155.997,1481.964,105.1712,1210.481,1504.521,65.15221,1.066694,287.5293,27.292
1273.015,1389.024,97.95405,1122.145,752.7455,41.82089,5.70002,414.9131,41.816
936.0015,1371.912,98.42789,695.1105,906.0091,43.82029,2.900012,377.3711,54.381
1228.018,1337.988,91.60617,748.7426,1400.287,64.97122,0.9666921,288.8878,65.346
1049.01,1397.003,101.2641,857.1384,1627.75,66.18875,0.9333384,283.9252,73.913
943.9995,1343.038,91.24101,855.2311,1667.213,73.78065,1.966674,254.3969,84.346
840.0017,1384,96.12315,862.095,1511.329,88.46846,0.8999864,212.3944,93.816
1064,1393.99,100.4025,1308.158,1705.776,51.83687,1.200008,359.9912,105.046
1137.003,1336.02,90.69205,1064.504,1796.99,57.38667,1.300085,324.1674,114.079
1169.991,1458.986,108.8048,1136.322,1592.096,81.00599,0.8999568,232.0139,122.945
1202.996,1212.988,97.92049,920.8895,1764.569,62.3315,1.066658,301.1256,134.013
1164,1308.988,91.58443,623.1401,923.7551,41.30642,1.8,442.0984,145.813
1067,1366.011,96.18494,1367.334,1605.607,91.43571,3.83334,206.3717,157.614
1203.999,1363.984,91.59709,1269.166,1647.086,57.07481,0.8666856,329.12,166.246
1134.999,1363.002,96.4574,874.8217,1759.851,68.57874,4.333319,271.9128,177.815
