StrikeX,StrikeY,StrikeZ,LycaonX,LycaonY,LycaonZ,ElapsedTime
11.17251,17.96046,-527.1819,-5.189946,0.39656,-485.4205,3.320097
11.17251,17.96046,-527.1819,12.11546,4.684804,-483.3876,5.520067
1.967712,0.4762664,-479.0592,6.292658,2.83642,-463.9751,9.520062
-8.345904,1.592314,-455.5167,-11.35885,0.8479738,-462.4316,15.72005
0.4199224,1.596493,-438.8862,0.9232447,0.3747816,-438.54,20.45337
7.30698,0.9676435,-429.7153,7.573533,0.9913809,-425.116,22.62006
-5.093528,0.5984242,-487.3398,-9.13431,0.7342844,-487.6884,2.166583
-7.622864,0.7738099,-465.4583,-8.053295,0.6808414,-472.4332,6.799847
18.31207,0.9194933,-479.8918,17.89011,0.8571389,-491.644,13.23323
12.03844,4.46556,-487.9443,12.79657,2.672156,-491.0059,17.86659
17.92393,-9.390327,-418.7474,12.5247,-6.845452,-433.1685,27.2999
10.14025,-9.192723,-416.0548,4.840592,-9.231533,-416.9925,30.19991
11.08119,-7.976691,-426.5059,-22.30666,-19.01388,-434.336,39.43294
5.104741,1.27403,-474.2859,0.2131163,0.7624888,-479.8935,3.253325
-4.192752,0.6669776,-468.3277,-5.050887,0.6181479,-468.1414,6.786623
15.24221,-9.320637,-432.3377,11.77961,-9.469296,-441.9154,11.81993
10.91177,-9.502941,-421.9544,6.51036,-9.227194,-431.9182,14.15325
5.966875,-1.678636,-421.8416,9.231148,-1.193685,-421.6346,16.65324
2.736796,1.080228,-479.0551,0.9958312,0.7857165,-481.8017,3.219978
6.125476,0.9802574,-450.2045,6.515727,4.570958,-460.6023,6.953282
15.32261,-9.253373,-431.3421,19.71385,-9.513388,-439.6542,11.85323
3.963064,2.968801,-403.3757,8.225144,-5.286721,-419.2505,15.45325
4.576268,-0.7778625,-407.0451,2.307891,-1.518097,-408.6167,18.2198
-5.433962,0.9861823,-477.2701,-7.731091,0.5782535,-481.7189,2.699976
-1.960576,0.6588511,-457.4709,-2.440652,0.5554681,-467.4547,5.399961
11.66924,2.547109,-458.1986,10.31274,2.540776,-456.4044,7.933239
5.53332,2.076306,-444.4539,2.126047,0.7331955,-435.5203,14.93323
8.828225,7.50913,-430.7154,10.77451,0.9912066,-416.5372,19.26658
13.31397,1.267578,-409.0068,8.498078,0.6573827,-406.906,21.93324
-0.4309433,13.0141,-390.0662,1.057599,0.4109883,-376.3297,28.49975
7.927034,0.942112,-362.5233,5.135008,0.9552329,-362.545,30.83323
11.15024,-0.5149087,-377.8233,11.78651,-6.814704,-366.6132,35.53312
18.79773,-9.33786,-347.0945,18.97978,-9.527811,-341.8263,37.99973
8.29653,1.311539,-332.2463,6.344292,2.613818,-328.3691,40.96628
