MouseX,MouseY,MouseZ,nectarX,nectarY,nectarZ,TaskTime,width,GameTime
1071.539,1081.731,74.22649,1155.614,867.8979,41.33319,4.866644,447.9516,268.148
1149.779,1265.286,87.01937,542.5896,1613.285,54.17737,1.633299,337.5317,278.013
883.2484,1235.681,84.86258,1038.215,1141.814,51.62749,1.199955,357.9113,26.265
1327.802,1029.239,64.74194,1273.297,1910.313,90.93008,4.333359,205.8704,40.598
1182.463,1127.749,93.87836,1225.192,1636.247,60.42945,3.166642,295.2825,53.766
945.205,1205.806,82.64534,1131.527,1483.533,78.00356,0.933413,240.8331,15.981
1118.907,1251.304,90.91756,1033.688,1441.884,56.23849,7.266623,328.4949,28.979
1111.671,1366.247,96.86836,683.7772,1905.155,79.67079,1.000007,236.1237,25.762
1222.078,1318.445,88.68645,1156.468,1688.786,84.85949,5.799993,213.222,17.321
1251.813,1286.71,88.34299,953.6943,1955.026,87.75317,4.166596,214.8673,29.687
1289.754,947.0649,68.05768,1359.268,1468.113,46.50245,1.03332,402.9484,40.153
