StrikeX,StrikeY,StrikeZ,LycaonX,LycaonY,LycaonZ,ElapsedTime
12.51267,0.6261308,-489.4529,11.6994,0.7422979,-486.8789,3.286693
4.383828,0.7923817,-478.9413,4.511903,0.6468103,-475.7959,8.686647
3.677611,1.800614,-429.8491,4.008126,4.635258,-426.993,18.6533
2.057745,0.6920334,-410.5322,3.802274,3.598912,-404.4901,23.21996
8.801133,1.12945,-389.7431,1.440386,0.6217208,-390.9394,25.28664
-0.8367016,3.787396,-317.8225,-6.987004,0.3913281,-324.9783,36.88643
9.974214,0.6511662,-322.2211,9.99977,2.808603,-317.8186,42.38625
8.420836,0.9980681,-246.5499,12.93207,-6.317251,-223.7028,64.31886
7.827037,-4.50475,-192.6345,5.931611,-5.185709,-193.8037,69.05246
13.0316,0.8221766,-149.9447,12.1559,0.6464806,-143.9995,84.48619
4.911242,1.610689,-122.1212,1.838151,0.5613847,-122.3798,89.68629
-1.132766,1.173807,-88.22545,2.125593,2.165942,-71.50027,95.88641
-1.620861,1.784579,-45.42199,0.5969009,0.6928742,-55.32578,98.98659
8.956398,1.136796,-46.59878,8.009621,3.503535,-42.62585,101.6867
15.9175,0.6691369,-14.48878,16.23671,0.5114639,-5.015076,113.3537
14.5232,2.602682,17.64778,15.6529,2.617529,18.89398,118.2871
11.36742,0.6993488,-470.8056,7.893328,0.6255264,-468.7109,6.060592
-7.402222,2.276464,-466.0426,-4.737226,1.617629,-467.4948,8.524794
8.106065,7.532384,-474.2706,7.164776,1.533494,-461.5504,15.91748
2.631193,0.2790801,-447.4906,-1.642559,0.536592,-447.3347,21.77835
4.443878,1.082178,-405.2636,-2.210545,0.5977178,-417.2139,28.87552
1.699889,0.8342458,-402.6458,1.551705,0.4128544,-399.2794,33.47552
0.805398,1.838821,-381.1751,1.651084,2.039593,-379.6102,39.37533
0.290966,2.082446,-366.4758,0.4259823,2.224513,-363.8077,42.24184
14.08575,0.6978066,-357.2945,13.55928,0.6483433,-351.8669,44.67515
8.670973,0.7626119,-338.001,4.461131,3.494421,-329.609,49.50828
2.322535,1.227196,-320.2936,1.458145,1.671003,-314.6144,53.74158
20.5219,0.7346634,-315.108,21.6803,0.5997713,-308.5954,59.64138
19.48454,0.8555762,-289.1466,19.87455,0.2581906,-281.1689,64.34126
16.44357,1.433198,-269.101,14.95275,1.989729,-266.3241,66.90789
