MouseX,MouseY,MouseZ,nectarX,nectarY,nectarZ,TaskTime,width,GameTime
1121.959,1088.452,74.12862,1707.266,1253.813,42.38647,5.366645,440.9209,50.688
1166.335,1314.193,91.20602,1090.677,1800.529,91.56678,9.799885,206.1796,70.416
1199.865,1246.405,85.99986,1279.992,1512.267,79.11272,16.23318,235.7891,96.651
1110.439,1414.78,115.1071,1285.068,1601.949,56.43715,10.63331,325.4856,117.283
1102.11,1314.106,90.20639,1077.037,1445.108,75.64374,2.833283,233.8904,130.15
1179.103,1268.655,86.98415,1343.314,1447.204,72.0169,9.099943,239.4491,146.116
886.0599,1253.779,83.48685,635.6805,1019.874,53.93943,4.262396,341.4924,24.364
1062.22,1293.985,91.00445,1176.223,1024.001,38.18084,2.666325,466.858,37.065
1049.54,1271.702,87.84972,880.5502,1700.566,95.16457,1.500045,191.6908,48.564
1274.322,1245.152,85.80372,814.8105,1290.424,47.95758,1.299999,382.2192,56.098
1062.239,1263.221,86.33134,1325.638,1419.278,71.7886,2.766614,248.8846,68.864
