StrikeX,StrikeY,StrikeZ,LycaonX,LycaonY,LycaonZ,ElapsedTime
-1.616902,1.823662,-456.8764,-2.161671,0.7014165,-456.5236,6.753384
-14.95397,2.488193,-426.5508,-11.09752,2.768803,-437.0529,15.12002
-2.663781,12.94511,-430.6785,-4.523405,2.192248,-420.6437,22.18663
-11.80854,1.651469,-389.9926,-8.100319,1.025177,-391.2638,25.85329
-7.607293,0.7532952,-371.9452,-7.746082,0.5468495,-375.22,30.82
10.09571,-7.115838,-325.7518,11.90835,-8.462145,-328.8189,37.98649
-4.74894,1.189331,-300.0351,-2.364068,1.05893,-305.2433,42.78636
-8.939901,2.436096,-267.8267,-9.070009,1.405129,-275.3984,51.11942
-14.85844,0.7065912,-251.0041,-14.76632,0.829283,-257.2769,54.25262
-6.565042,3.324136,-242.8239,-4.77273,2.471238,-246.0051,57.31923
0.1561413,0.8856276,-469.1362,-0.04149258,0.947299,-479.659,3.366705
1.384347,1.02789,-457.4067,2.297427,0.5639522,-458.9998,6.999823
2.018714,0.7077016,-427.1259,0.9807184,0.7524095,-432.6404,12.19991
-9.700046,1.125529,-406.3838,-10.99571,0.6507649,-407.6775,15.43331
4.710726,0.9862996,-390.7195,5.560922,0.8204625,-392.6029,19.7333
-4.257168,0.7624701,-379.3523,-1.038432,0.5937002,-381.5442,24.13329
-2.265893,0.5110967,-366.4013,-3.991827,0.3870649,-368.1602,27.13328
