StrikeX,StrikeY,StrikeZ,LycaonX,LycaonY,LycaonZ,ElapsedTime
6.15022,1.003359,-477.3031,7.401076,0.7844067,-481.4245,2.853304
4.019744,0.6939865,-449.887,9.056713,0.8479292,-458.2908,5.68663
7.566961,5.772427,-456.6555,9.938966,2.072575,-452.2907,8.053303
-18.14468,4.913611,-383.0399,-10.73975,0.9296653,-397.6443,17.45326
13.85769,-6.468231,-378.5966,13.75115,-7.584839,-385.7723,20.68654
5.769677,-9.121145,-364.8737,7.034411,-9.280008,-366.8791,23.71988
9.812425,0.3191986,-312.1141,12.59529,4.179958,-324.5279,30.75329
7.061485,2.115357,-291.6009,9.758432,0.6157496,-308.7722,32.91993
5.416915,1.042254,-288.4475,6.670739,2.922645,-296.1038,35.1865
9.09721,14.36115,-291.6694,13.86708,2.669671,-279.6268,39.153
9.06684,12.90347,-284.1269,16.83929,1.444826,-258.4542,41.41957
-0.03244787,0.8698375,-243.9783,1.738969,0.5135345,-248.5801,43.95292
11.14734,-7.962795,-219.2979,14.42143,-7.431345,-227.6724,47.35276
3.382939,-8.854025,-196.5464,6.292143,-9.240757,-204.8741,50.08599
3.02687,17.18964,-256.6845,8.622683,10.12337,-177.6788,53.68598
-2.395844,-1.99044,-152.2261,1.542548,5.632657,-171.413,57.08585
-5.19833,-1.507911,-157.4067,-8.904787,1.16916,-184.8049,59.4191
-5.19833,-1.507911,-157.4067,-6.954313,8.470986,-181.5891,61.95232
0.7051232,0.8458335,-175.1878,2.899189,0.736573,-175.1552,65.45226
2.624699,0.6387678,-182.0785,10.06338,-6.519036,-158.1105,67.95242
2.624699,0.6387678,-182.0785,16.99928,-9.451414,-144.5145,70.31913
9.880656,4.732482,-67.44218,12.93983,0.6516051,-41.97589,94.21977
9.08954,3.334245,-12.75512,13.95785,3.444792,-11.90265,97.62
0.1691401,1.698019,36.66179,8.055419,8.791469,-4.388153,100.2201
0.6276672,1.913118,17.09745,6.117115,0.5263529,8.1362,104.6868
7.464239,4.152001,42.0629,9.010027,0.6485777,28.77405,108.0869
18.0586,0.6495079,51.91016,18.34478,0.3458526,44.66046,111.8537
2.07205,1.71359,68.89304,5.993944,0.7834723,52.94934,114.8871
17.62103,0.993926,72.3428,21.06636,0.6294172,66.25763,117.4203
4.101241,11.56298,67.75061,2.522224,2.066686,85.08466,121.5205
12.47128,0.7258577,104.93,13.94022,2.33338,95.65326,126.754
19.6969,0.6553929,116.1257,20.32019,0.7342982,111.7205,129.6206
21.76359,3.040379,121.2551,21.95209,0.2825379,121.8647,131.7871
3.173016,-1.398741,186.3745,2.18782,7.961852,158.2444,140.153
1.068815,-0.7665377,183.7874,1.709151,-14.46879,151.6099,143.153
-0.1163139,2.431593,-470.2867,5.198435,1.073474,-477.748,2.933361
-4.490808,0.6743917,-460.6094,-2.31924,0.6081657,-461.7338,6.033303
-20.23986,0.962119,-444.5403,-18.80824,0.4971461,-453.9945,8.433349
15.28751,1.71359,-438.0854,14.63056,2.908428,-446.0005,13.13332
4.072548,1.286947,-423.3715,4.122091,1.373777,-433.1886,16.09993
13.14425,0.5577511,-416.9397,15.26506,0.6300726,-420.5214,18.60002
22.02902,-9.06564,-366.6883,13.71925,3.538196,-402.2643,21.4666
13.50737,-9.70417,-379.7999,15.30608,-9.373844,-383.9174,23.76667
9.499028,-1.526761,-366.2132,12.4842,-1.931525,-366.8717,26.89998
6.442358,0.865118,-349.9466,8.066146,0.5220354,-354.6373,30.33331
-5.361178,-1.545919,-336.7575,-2.455704,0.2760861,-343.586,32.5333
-2.706388,0.5679952,-331.6229,-2.545201,0.35658,-328.193,35.09982
2.515709,3.273979,-314.293,2.185175,0.7220058,-313.6487,38.76636
0.07873821,0.608061,-284.4767,0.815031,0.5440521,-289.3625,41.59967
13.24977,0.6757493,-265.1303,15.59486,0.6743712,-265.0016,46.03281
