MouseX,MouseY,MouseZ,nectarX,nectarY,nectarZ,TaskTime,width,GameTime
1160.974,1342.439,84.16747,1019.951,1499.108,82.21847,8.233276,228.7955,77.98
1103.995,1179.032,98.2206,1008.906,1368.945,54.70587,5.733373,326.7794,91.144
1096.012,1395.182,99.9855,802.0502,1490.536,70.21341,2.666678,259.4159,99.544
1015.23,1337.274,94.04592,767.6602,1584.568,92.05111,2.266645,204.2852,107.91
1372.169,-19.93542,24.05035,1157.554,1641.181,93.69228,2.199959,200.9866,117.577
933.4381,1384.413,104.4257,1318.859,1027.059,51.06438,2.300023,366.5481,125.944
1126.079,703.9072,55.95226,1164.099,1644.954,82.28562,22.79999,227.8983,154.91
992.5921,1753.883,168.9071,1242.232,1705.553,100.3097,3.466533,184.7246,165.377
1270.189,1442.214,106.7017,694.6986,1530.107,65.21462,1.166656,285.9636,174.71
1123.128,1330.252,70.92534,1426.677,1490.91,56.515,3.600047,330.2896,186.81
1405.356,1312.886,87.14899,920.7523,1065.132,52.9708,7.666564,338.2168,201.143
687.3387,1350.862,95.26025,1129.377,1638.43,92.96686,3.599942,200.9867,36.828
1234.883,1318.741,92.83186,1403.041,1937.568,79.6851,1.166647,235.4645,44.561
1178.915,1254.153,90.8821,1706.672,1395.128,51.51071,2.300017,364.4503,53.994
972.1948,1264.453,87.72823,1349.812,1442.134,77.55918,1.0333,241.7568,60.928
