StrikeX,StrikeY,StrikeZ,LycaonX,LycaonY,LycaonZ,ElapsedTime
4.064711,1.454374,-485.8473,6.452073,4.493347,-485.6351,2.553314
4.109845,1.272575,-477.4173,2.982179,3.792757,-481.7737,5.686643
12.95987,1.358646,-465.3807,11.33148,2.272651,-463.1578,9.886654
-3.880149,0.8697288,-413.5617,1.736453,0.5352445,-420.2913,18.85364
14.60234,5.404698,-422.4039,17.88833,0.8121777,-417.4661,21.31995
6.199617,2.465369,-384.0448,11.70081,3.314266,-385.8534,27.38659
15.43173,0.9092122,-365.9519,8.27339,4.347959,-365.8047,31.65328
15.13771,1.276549,-375.7371,20.21374,3.935755,-369.5833,37.45302
-0.5366173,0.8588337,-361.7862,-1.372823,5.233079,-379.36,40.48626
4.375601,0.838412,-374.3163,5.736768,1.627896,-366.2019,42.55296
7.122911,1.802259,-354.0579,8.31146,3.505714,-352.795,46.08615
14.29543,0.551655,-341.9908,7.550146,3.597044,-360.7991,48.68607
-1.980647,14.31313,-386.2779,-1.879139,0.8333325,-347.2401,52.28595
12.01209,0.750798,-310.3187,11.68834,0.6718533,-316.1291,56.41909
12.43692,0.6420537,-288.5558,9.977539,2.23671,-296.6608,59.55231
-6.18433,0.6035966,-270.7993,2.731919,0.6081519,-269.9802,63.95226
6.736132,1.484519,-262.7935,10.415,0.900099,-259.1242,66.15234
16.0609,0.6248522,-245.4818,11.70712,1.042874,-233.2793,68.38573
15.35986,-9.318135,-192.4918,18.43562,-9.382648,-202.2029,71.88586
10.69551,-0.1703577,-189.5863,6.043095,0.3645453,-188.9079,74.85259
4.189612,0.6652683,-173.5609,-1.696032,3.067771,-172.2463,77.51928
3.624651,3.786942,-486.8434,3.607564,0.8784664,-486.7794,2.899963
6.872303,0.6323403,-463.6077,1.643278,0.4115081,-465.2029,5.299951
4.286268,1.243682,-429.851,4.737544,1.036485,-428.4884,14.7666
7.004766,1.012992,-396.6106,5.483951,0.8423686,-399.8058,18.89989
8.579401,-4.718248,-353.1364,6.628205,-3.334396,-351.219,24.36646
1.403869,1.12092,-343.8405,-0.2188062,3.821903,-341.8988,28.19986
-3.423002,-1.540033,-330.9794,-12.64863,5.029959,-317.0929,31.26653
-9.370245,1.39955,-308.5883,-8.865129,2.389985,-305.1172,34.96648
-0.7902853,12.70248,-322.0497,-1.007993,0.8785818,-288.9941,37.83308
13.4038,-6.181827,-136.0591,14.69441,1.692946,-257.5104,42.33293
15.72746,-6.251225,-219.3334,16.15041,-9.442511,-216.0134,47.39942
21.09218,-9.667045,-226.3037,2.303967,-9.042578,-218.4229,49.39941
7.391509,-0.4972935,-204.4856,4.902478,0.204659,-203.5834,53.36595
2.955298,1.116196,-478.9377,1.782918,0.952374,-479.179,3.233315
-6.397696,0.6911327,-465.4254,-9.120855,0.7242453,-461.1965,6.500044
-8.364388,0.9073451,-455.2975,11.90917,0.7664189,-442.4989,9.633338
6.320697,2.171749,-426.8282,-0.8650668,0.8177457,-415.9469,15.0667
15.50797,1.317961,-396.7813,14.2704,1.33849,-398.2309,18.56668
6.134243,1.310165,-382.1035,-4.773507,0.5657451,-382.3368,22.93329
8.85126,0.6195631,-362.9022,7.387315,0.5712848,-355.3979,26.43328
1.956111,2.415981,-326.9563,-1.229154,1.10133,-327.1748,31.16659
7.118239,1.453501,-301.1985,-8.300576,0.5141957,-298.4706,35.23318
-14.33312,1.10244,-292.0656,-10.373,1.34583,-275.4962,38.23309
3.044735,1.264525,-242.4843,1.430482,4.641584,-244.3585,42.76633
5.381967,2.313295,-479.1251,6.412416,1.095117,-477.1138,2.999972
-1.51081,0.7961544,-443.2323,-2.815825,0.7772095,-443.6882,7.966611
9.365446,1.012883,-414.9808,4.035011,1.115921,-412.0639,12.76649
6.759787,0.8676451,-399.4478,6.942228,0.8171384,-398.9319,15.49993
