MouseX,MouseY,MouseZ,nectarX,nectarY,nectarZ,TaskTime,width,GameTime
1258.375,1245.56,84.56967,708.2068,1481.789,87.1646,2.266593,215.6045,44.53
1295.53,1318.231,82.75504,1020.566,1800.792,87.89497,1.933392,213.5775,56.461
1260.832,1361.908,96.55237,786.0615,1536.784,65.50354,2.033215,286.9335,68.495
1102.093,1231.61,84.40295,1287.245,1473.242,80.24112,1.89998,232.5629,76.828
1004.737,1023.316,48.93456,1152.646,1372.038,73.3306,2.366658,254.923,87.028
912.3221,1291.04,90.07429,1065.882,1497.572,69.53456,1.199989,267.5054,97.528
1238.518,1234.114,103.8899,917.6184,1204.553,52.60833,0.7666652,355.0035,105.029
1143.337,1250.891,86.42007,1883.759,1526.686,36.11237,1.899971,517.2567,18.139
1132.411,1330.742,93.08174,1002.447,1540.063,88.25528,1.266563,209.9303,29.406
959.595,1216.494,87.61382,1414.438,1244.682,66.53443,1.299915,275.2462,38.839
1095.552,1732.487,191.2047,1290.255,1239.682,62.55944,2.699978,285.8254,51.305
1147.787,1251.304,88.63673,884.33,1219.716,58.54064,1.133289,317.9308,60.771
869.2827,1233.228,84.40584,1221.706,1364.221,70.21359,1.166669,264.9933,23.712
1280.343,1316.479,91.03868,776.4673,1599.755,56.47438,1.433293,323.4364,35.146
1051.879,1328.417,89.91435,1294.184,1577.438,98.36562,1.60009,184.86,45.679
992.0718,1303.44,90.85491,1300.833,1453.613,76.07011,1.133315,245.4302,24.512
