StrikeX,StrikeY,StrikeZ,LycaonX,LycaonY,LycaonZ,ElapsedTime
21.72,8.228571,-485.1416,4.654638,0.520067,-492.4597,3.053293
-3.851663,1.840056,-398.1484,-7.591938,0.661114,-406.5994,16.91995
4.390799,0.9418359,-369.4786,5.814706,1.323972,-363.7355,23.71995
6.392561,0.9550561,-340.4123,3.596702,0.7842546,-343.9142,27.55311
4.164898,-9.298666,-305.3271,4.732862,-9.315918,-311.6711,31.75322
0.6952577,-4.038542,-270.4471,-0.1160368,4.871641,-285.9484,35.35305
6.586079,0.5708723,-260.6635,8.136378,5.642905,-278.6239,38.65295
13.98099,0.9921132,-241.2654,12.71178,3.678106,-258.8064,40.91957
-8.84997,2.031905,-247.5705,-7.503315,1.239609,-250.2852,44.78617
-6.38957,4.550118,-240.506,-10.39733,1.051301,-239.4582,47.98601
15.23077,1.448415,-195.0615,4.809443,0.8807523,-219.0141,50.61916
-10.46,3.723934,-191.7411,-16.7695,0.7563326,-195.0052,55.41908
7.59014,4.040912,-153.7545,9.42312,1.284467,-159.7183,62.15216
5.611391,1.624464,-126.8144,10.79571,0.8062117,-120.6992,68.4523
23.11667,4.605406,-67.08282,10.50887,7.925324,-112.1178,70.65237
9.434314,2.19169,-107.8127,6.885704,2.080086,-107.6744,73.21909
4.59713,1.888556,-94.41528,5.583812,0.8254552,-96.36661,76.55256
23.82847,3.390088,-27.02099,10.12476,-5.585551,-68.65851,79.25263
4.61004,1.699448,-36.91243,4.831008,0.01960778,-36.3775,84.08607
-4.753155,-7.248555,13.2571,-5.58247,1.072553,-12.74762,88.31952
-7.68644,0.8127502,1.644631,-6.604401,0.4705889,-3.776184,91.68632
16.0813,0.9365426,32.52161,9.422214,0.6443753,19.32574,95.88646
4.131038,1.659361,39.09264,3.550212,0.454906,34.49866,99.08656
13.45142,0.7010875,62.6436,14.52748,0.6674197,58.81567,102.4199
7.977718,3.04634,-474.4824,5.863278,2.120755,-474.0104,3.633274
13.50048,0.9685676,-449.244,12.32409,0.6967883,-460.3262,7.09993
-11.13291,3.82519,-429.3797,-8.63277,0.9988458,-430.2244,13.1999
4.932173,0.8659855,-406.4915,5.320378,3.365563,-408.9422,16.76656
13.83038,3.809513,-386.4774,14.11275,1.152441,-386.1707,20.69986
5.497278,0.575199,-353.7297,0.2751623,5.205284,-362.5716,25.43315
-5.147919,6.014409,-348.8535,-5.573873,3.360447,-355.2306,29.13321
16.63011,1.313274,-340.358,16.22465,3.498544,-340.7823,32.49979
-11.27311,0.9058384,-349.6711,-8.067546,0.6968768,-353.8544,35.96638
10.37654,0.8797837,-351.5143,9.042634,0.5999577,-354.5468,40.13297
4.79704,1.050957,-321.9289,4.83406,0.8670976,-326.5624,43.53275
13.21165,-0.2956723,-282.4363,12.77512,0.4049363,-280.0059,51.39927
7.833735,3.306769,-257.5333,9.406234,1.019304,-258.8658,55.39905
-12.81536,0.3885778,-214.2852,-12.53136,1.210167,-228.6378,62.06557
-17.2095,1.986309,-224.0323,-17.49004,0.3618779,-223.5693,66.0989
1.532718,2.081783,-169.1545,0.5353475,1.28192,-171.3833,75.93246
6.092668,1.064238,-479.8865,6.842389,0.7822042,-482.3447,3.266517
7.18767,1.060168,-444.1146,5.831728,0.9595344,-449.7675,7.166609
5.47322,0.07880974,-403.4035,4.519252,-1.187893,-405.5153,14.36656
-15.49559,0.8626546,-394.659,-13.72245,0.9019725,-398.7999,18.0999
8.853587,-9.436303,-320.9966,5.469142,0.9016967,-351.3546,25.3332
11.71454,2.225603,-305.917,10.13509,2.102681,-306.5764,32.23316
9.427566,1.945359,-244.8225,7.470177,3.253119,-252.65,40.53291
0.203769,5.84156,-228.5908,-0.1808431,5.454374,-228.2961,44.66617
5.529602,3.495243,-223.3416,5.243731,2.104305,-222.8939,48.69933
5.674742,2.767423,-205.5889,7.428201,2.742765,-206.061,51.9659
-0.3647211,4.382687,-187.7742,-0.3151841,1.446024,-187.3649,55.36576
7.898404,-9.329246,-110.1192,6.278504,0.9025631,-141.581,63.03223
13.46739,-9.276229,-105.6558,13.40948,-9.789606,-116.7944,66.79876
7.215183,-4.481372,-108.5545,6.401258,-5.509851,-108.0605,69.63234
3.28204,0.431859,-66.02615,1.008509,6.371453,-93.66968,73.299
3.97131,1.07881,-108.0769,4.287207,0.6125734,-116.1713,76.86592
