MouseX,MouseY,MouseZ,nectarX,nectarY,nectarZ,TaskTime,width,GameTime
953.0023,1406.988,99.55319,1096.972,1748.22,78.92088,2.699954,233.066,34.055
1122.013,1330.979,93.22722,1559.383,1572.32,52.76514,0.9332706,355.9402,44.988
1105.014,1437.044,106.2141,1074.178,1483.64,62.66777,1.200046,296.7059,54.291
907.0021,1344.984,87.00548,873.3142,1232.387,56.13914,1.366696,322.9946,63.788
838.001,1350.015,89.25765,1109.693,1621.154,91.2706,1.466656,199.6691,75.254
1285.997,1625.008,125.4592,1084.37,1484.3,66.0745,1.566585,272.4341,86.653
1300.004,1596.022,123.5198,1178.096,1552.509,85.39597,3.566604,217.8811,97.253
889.9987,1340.001,94.44687,1329.483,1821.596,78.48946,3.166642,231.3438,109.287
1226.976,1373.039,97.63925,1346.229,1797.032,67.08015,1.066769,279.908,22.164
1261.997,1338.97,88.00146,722.7369,1909.739,80.97861,3.166647,226.1711,34.997
1302.021,1308.999,90.32917,1356.965,1290.84,58.19307,1.333325,313.7443,44.963
1093.996,1344,94.35451,879.6048,859.5886,47.32164,3.333297,367.311,57.998
1152,1350.955,90.24453,1387.535,1143.498,58.41333,3.433262,309.0736,71.43
717.0027,1294.999,87.65436,1274.581,1932.144,92.32866,3.200003,199.2155,84.631
1131.982,1349.948,94.95438,703.8734,1602.029,64.94123,2.533258,285.7166,18.184
759.0144,1325.029,92.82366,833.2844,1399.136,43.50731,1.299997,422.577,29.487
1217.983,1328.958,90.36523,1388.56,1391.179,40.41867,5.16659,466.9803,44.652
1116.006,1335.014,88.28534,1259.381,1082.065,49.24203,1.299994,370.0182,55.685
1012.999,1355.003,88.33361,945.6755,1710.371,64.84573,1.833376,287.7412,67.552
1140,1192.014,90.96017,1453.241,1465.637,38.71735,2.099975,486.2783,77.418
